epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.36064,1.85849,13.0044,1.36069,2.16811,2.26105,0.99489,1,0.995,0.73002,0,0,0,0,1.11021,14.8475,1.35617,1.16195,2.13212,0.0003,0.0003,0.0003
2,7.37708,0.98138,12.966,1.18425,0.61991,1.54453,0.90644,1,0.995,0.64222,0,0,0,0,1.04215,14.4936,1.2782,2.48467,1.65307,0.000615908,0.000615908,0.000615908
3,10.3035,0.90966,12.4537,1.00971,0.6005,1.49048,0.6872,1,0.98807,0.68677,0,0,0,0,1.14423,13.9933,1.58013,3.24275,2.02478,0.000927592,0.000927592,0.000927592
4,13.2352,0.90965,12.5358,0.87036,0.60062,1.45884,0.81794,0.92513,0.91014,0.57621,0,0,0,0,1.13178,14.397,1.29164,1.18163,1.93415,0.00123505,0.00123505,0.00123505
5,16.2142,0.90254,11.8071,0.80354,0.59056,1.46821,0.90704,0.97059,0.95869,0.48642,0,0,0,0,1.66411,14.883,4.24612,2.7421,3.76122,0.00153829,0.00153829,0.00153829
6,19.1452,0.91293,11.8817,0.75461,0.61283,1.46903,0.93679,1,0.99389,0.66158,0,0,0,0,1.13526,14.5829,1.88853,1.96688,2.34201,0.0018373,0.0018373,0.0018373
7,22.034,0.84764,11.8942,0.73644,0.58942,1.40786,0.82133,0.97059,0.98817,0.66808,0,0,0,0,1.10497,14.4737,2.50063,1.66171,2.3754,0.0019208,0.0019208,0.0019208
8,24.9432,0.87269,11.384,0.67154,0.59392,1.45002,0.7876,0.97059,0.97157,0.49745,0,0,0,0,1.64767,14.5065,1.2424,2.45386,4.15217,0.0019076,0.0019076,0.0019076
9,27.8522,0.80977,11.1193,0.64616,0.57106,1.37641,0.84885,0.91176,0.96549,0.62134,0,0,0,0,1.4604,13.3495,1.75749,1.63684,2.45811,0.0018944,0.0018944,0.0018944
10,30.7482,0.81401,11.5437,0.69597,0.56227,1.37303,0.91515,1,0.98949,0.69042,0,0,0,0,1.02078,13.6755,0.68426,0.87131,2.07749,0.0018812,0.0018812,0.0018812
